ds,yhat,yhat_lower,yhat_upper
2010-02-16,30971.63806426688,13731.821815827021,46607.38531565385
2010-02-17,27997.219445548446,10945.623463845683,43920.773838364534
2010-02-18,32836.94571528035,16351.534017442407,49008.20781639909
2010-02-19,25146.93105087162,8195.413095097201,41781.90799622141
2010-02-21,17071.23501543232,1263.876682148368,32807.02094992307
2010-02-22,32725.461771535236,16172.723617693566,49038.85113149917
2010-02-23,30719.626072367297,14560.331478227174,46096.235841809736
2010-02-24,27747.41558679225,12793.63162788459,44317.88669986925
2010-02-25,32587.141856536236,15786.495846690255,49150.29336091032
2010-02-26,24897.12719211627,8137.5052505597,40341.457468581044
2010-02-28,16821.431156697006,-474.50952256616586,34409.197879724685
2010-03-01,32476.819021943767,16332.942168258476,47978.10316208808
2010-03-02,30472.144431961635,14694.074780051727,46653.41171318203
2010-03-03,27501.095055560072,11794.361485538193,43849.178858239706
2010-03-04,32341.982434474,16356.452158599113,48969.81089461107
2010-03-05,24653.128879240183,7751.065476275647,40604.657927637796
2010-03-07,16579.755062113123,522.5973033563461,33442.97272736518
2010-03-08,32235.142927389927,15900.07593294411,48630.48660544269
2010-03-09,30230.468337391838,13357.753344909745,46183.02585630281
2010-03-10,27259.418961003692,11018.136463711377,43765.97728605201
2010-03-11,32100.306339906478,15705.23339893021,48088.25378390978
2010-03-12,24411.54482183506,7958.870965147306,40280.59981937923
2010-03-14,16338.355078948836,3.208747244648956,33114.80549698498
2010-03-15,31993.834981331023,15688.1779174553,47985.1301810142
2010-03-16,29989.25242846986,13068.987400752276,46408.15805428355
2010-03-17,27018.295089205178,11615.941807728428,41761.98835738972
2010-03-18,31859.274505241712,16230.78032537688,47664.7337745949
2010-03-19,24170.512987151596,7797.484728476932,40934.659087840504
2010-03-21,16097.323244295698,-300.0898373506659,31755.26720442524
2010-03-22,31752.803146663202,15581.568186412147,48660.9176412042
2010-03-23,29748.220593803002,15087.904390802507,46288.96772005759
2010-03-24,26777.311863621468,10314.573228988873,43505.31612326834
2010-03-25,31618.339888747694,15597.164007267475,47429.07606257787
2010-03-26,23929.626979727534,7580.3500805035055,41267.990007336455
2010-03-28,15856.534455033638,-363.43565776233595,32461.17518801231
2010-03-29,31512.062966514943,13910.846331943492,47583.9760596944
2010-03-30,29507.52902274186,14052.539514852702,46153.79497138831
2010-03-31,26536.620292564854,10426.805026047128,42065.0474833524
2010-04-01,31377.648317682124,16139.199015584574,47167.17273067312
2010-04-06,29266.83745168072,14110.851008253097,46245.82258025915
2010-04-07,26295.928721499942,9149.1397221052,42235.21759366684
2010-04-08,31136.96063534741,14122.324435271214,46777.88927198285
2010-04-09,23448.251615077905,8814.457673328327,40035.78817552728
2010-04-11,15375.166867866326,-461.05302260155617,31121.14010087441
2010-04-12,31030.699268053366,13641.218160875209,47992.76607670762
2010-04-13,29026.169213004265,12834.481702508965,44261.51431830176
2010-04-14,26055.264371558784,10887.256507630918,41476.187245513494
2010-04-15,30896.296285401724,14988.551745616152,46180.9524221316
2010-04-16,23207.58726511835,8706.107881645861,39782.8838759429
2010-04-18,15134.502517851965,-795.6412076027211,30744.301181195526
2010-04-19,30790.453300878646,15508.882442416594,48498.0599876467
2010-04-20,28786.34162861824,12780.758738783028,45790.86331988021
2010-04-21,25815.855169948543,9303.963323196946,42079.419568665806
2010-04-22,30657.305466574264,15850.383065105927,47716.720848865225
2010-04-23,22969.01482905393,5782.438206558694,39306.84070432006
2010-04-25,14896.766847371959,-824.5340789245614,30656.892030432613
2010-04-26,30552.717630397467,14444.507940299947,46028.35172901457
2010-04-27,28548.605958121105,12253.678233747029,44858.24725870987
2010-04-28,25578.119499464272,10300.92474775783,42981.30295412804
2010-04-29,30419.56979608765,15206.488201424725,46842.01406057007
2010-04-30,22731.687565625394,7570.604226142578,38576.95208975729
2010-05-02,14660.256398005047,-938.2255115505528,31253.6274973153
2010-05-04,28312.91232280463,11734.683317489566,44421.353529102846
2010-05-05,25342.834271169526,9603.303547289795,42531.74767003044
2010-05-06,30184.692974833273,13943.346649906678,45982.83688594536
2010-05-07,22496.81074436321,6499.77070001754,37566.56587356629
2010-05-09,14425.379576770549,-1137.996036686781,30234.737996128297
2010-05-10,30081.73876678908,13668.200436027175,45482.658757430996
2010-05-11,28078.035501565304,12381.536786508912,42839.627578930966
2010-05-12,25107.95744991799,8267.092472113178,39759.19991976883
2010-05-13,29953.988459934524,13516.97884556228,45350.618853244014
2010-05-14,22270.27853578801,6822.474808816368,37918.08894166474
2010-05-16,14207.191980873773,-495.0162178199056,31344.684433154154
2010-05-17,29867.723477273546,13244.942113230276,44810.92005173203
2010-05-18,27868.192518369582,11119.140181966928,44554.688509181615
2010-05-19,24902.286773087486,9687.170327919779,40072.544138871606
2010-05-20,29748.31778309064,14575.826983045199,46024.27614882173
2010-05-21,22064.60785896739,6735.796118072969,38842.111004424114
2010-05-23,14001.521304048707,-3163.4652393826937,28968.63242891317
2010-05-24,29662.052800429556,14385.048891478056,46931.152851347535
2010-05-25,27673.11793254346,10782.840329056668,43399.974670114825
2010-05-26,24717.80827828373,7410.230600758111,40900.93049517212
2010-05-27,29574.435379327257,14303.16846114102,45355.548000341776
2010-05-28,21901.321546216685,6758.571878755873,39048.042845981756
2010-05-30,13859.42717337025,-2956.5704487136322,31252.824782798787
2010-06-01,27541.619892908617,10578.403225267875,44615.710009578164
2010-06-02,24586.310238627662,9165.734480504552,40282.269955667914
2010-06-03,29442.937339672182,13888.339899937568,44756.090760084895
2010-06-04,21769.82350653903,7102.273472383827,38645.32910771493
2010-06-06,13760.568571732729,-3322.7666608793966,29564.405293223623
2010-06-07,29448.015878167636,13616.19406699912,45980.48084120912
2010-06-08,27475.40072933122,10931.636663541356,43623.768932911924
2010-06-09,24536.410794086707,7779.304213452266,40766.54365296271
2010-06-10,29409.357614143104,13186.398010036974,46927.090970763005
2010-06-11,21752.563500107368,6055.278292721239,38362.68891385814
2010-06-13,13743.308565246552,-4220.661413798269,28729.909943321483
2010-06-14,29430.75587166755,12719.318534267233,45515.5231749168
2010-06-15,27458.140722831784,12946.723528603488,41679.2726870109
2010-06-16,24519.1507875918,8119.401945220958,40860.983096523116
2010-06-17,29408.70864898315,12902.422245589449,45987.92238605799
2010-06-18,21768.52557626656,5249.756035321502,37533.30135494191
2010-06-20,13792.492724111744,-1133.7821888499477,29508.250959625413
2010-06-21,29496.551071872105,13418.369383752884,46348.61064001154
2010-06-22,27540.54696435894,11870.625581784605,43580.48342361234
2010-06-23,24618.168070444626,10358.821271069939,40774.603597193964
2010-06-24,29507.725931848057,14293.41896466448,44828.18476736477
2010-06-25,21867.542859117595,4565.138103400665,37850.94474150276
2010-06-27,13891.510006990462,-1428.1807607418848,29413.638994367924
2010-06-28,29595.568354719937,12113.169810811889,46203.24314363604
2010-06-29,27662.93622805641,11596.323830993782,44489.05234551338
2010-06-30,24763.929314978643,8658.333659900267,39641.85000958214
2010-07-01,29676.859157209004,14114.152790598362,45673.91276578881
2010-07-02,22060.048065296683,5273.172132470618,37467.17683033199
2010-07-04,14130.759174825027,-2864.3456670936057,31014.17028255127
2010-07-05,29858.189503408834,13833.526698259571,45464.941894229814
2010-07-06,27925.557376737066,12932.140976137513,44666.55177020024
2010-07-07,25026.550463664422,9244.716602480674,41449.21797306695
2010-07-08,29939.48030589801,14124.720983469466,46198.78564080229
2010-07-09,22322.66921401159,6999.8118796092795,38327.99715207314
2010-07-11,14451.765576680169,-2697.3888128051394,30687.850152798273
2010-07-12,30208.388531826226,13468.006380823763,45992.50390104465
2010-07-13,28304.949031722383,12410.301365016412,44251.75464777483
2010-07-14,25435.134745238767,8789.71714405385,41788.20193368064
2010-07-15,30377.257214036224,15075.716593602236,46905.48749895138
2010-07-16,22789.638748717232,7788.897299549105,39210.87164686701
2010-07-18,14918.735111421141,-1655.2496338104336,30293.157551549866
2010-07-19,30675.358066539782,15289.094123361847,46568.54491132203
2010-07-20,28771.918566453514,12555.344583474129,44413.195412599496
2010-07-21,25935.286455937345,9435.686695403909,43191.828993763906
2010-07-22,30910.591100717676,14210.829004675521,46645.36927967954
2010-07-23,23356.15481136182,7552.1947293153435,39069.69158586273
2010-07-25,15551.615525962832,270.06746915360685,31606.356579548774
2010-07-26,31341.420657147453,15890.664870793924,46343.28834556458
2010-07-27,29471.16333303377,12344.84777499391,45838.42556910588
2010-07-28,26634.531222522128,10748.189447587385,43444.5040111523
2010-07-29,31609.83586730346,15142.061364798888,46615.949949361624
2010-07-30,24055.399577967437,8585.569131864664,40309.69019803633
2010-08-01,16250.860292561363,-355.15440016097057,32242.939565149347
2010-08-02,32073.25875739639,16531.408685286784,48691.212598700906
2010-08-03,30235.59476693726,13577.586572321625,47138.15109745474
2010-08-04,27431.555990091772,10349.447476282156,44563.861764348796
2010-08-05,32439.453968519683,17479.852887583846,49027.140486085365
2010-08-06,24917.611012841364,9254.465356609391,40568.35604726139
2010-08-08,17178.258394786215,84.58208643569081,32982.934325694565
2010-08-09,33000.656859607334,16570.24563125397,49034.13905176907
2010-08-10,31162.992869157286,14440.870197259941,47541.90823869935
2010-08-11,28358.954092290183,12322.103258751209,45120.62612545928
2010-08-12,33366.8520707368,17039.495559283594,50069.28227265991
2010-08-13,25874.554092302566,9321.50080212918,40666.96280290041
2010-08-15,18194.291428766926,3632.989362675768,34564.63690890225
2010-08-16,34046.234870873624,17918.939170030513,49825.264332162296
2010-08-17,32238.11585768014,15577.816390548358,48965.36645316864
2010-08-18,29463.62205809048,13407.254189440015,44749.71332518345
2010-08-19,34501.065013796055,17121.5158678651,49343.29184421128
2010-08-20,27008.76703534531,10894.189923853943,43770.55313998277
2010-08-22,19328.504371839983,3136.7772633902946,34945.33784758002
2010-08-23,35180.44781393277,19090.961977828953,50665.23853655288
2010-08-24,33372.32880073104,16805.95248228401,49536.22395813623
2010-08-25,30621.64657738223,14615.380497575903,46957.370543510624
2010-08-26,35682.901109312326,19623.184366499285,51029.41987484984
2010-08-27,28214.414707115353,11790.094969131585,43344.58031242007
2010-08-29,20581.775196050126,5624.237289150029,37171.04558078835
2010-08-31,34673.222777382754,18188.81823249356,51624.766435121826
2010-09-01,31922.540554021314,16294.606031893532,46256.14036814329
2010-09-02,36983.79508596349,21776.04135727229,53403.33502297847
2010-09-03,29515.308683750005,13953.050561875703,45782.96676367427
2010-09-05,21882.669172715097,5749.327056043217,37522.634210482334
2010-09-06,37772.31772892321,21779.95385404614,54315.343242482864
2010-09-07,36001.903829882474,20484.57667262822,51597.19760762504
2010-09-08,33265.115144458556,15942.79282897523,49308.062772765144
2010-09-09,38340.263214311584,21737.66376419348,54234.61913695768
2010-09-10,30885.670350008455,14380.521879297823,47574.91991639304
2010-09-12,23280.817914813473,8423.007207286082,41107.51710667939
2010-09-13,39170.46647105162,23623.06500649641,55466.53779741428
2010-09-14,37400.052572021144,21111.355081175836,52940.15219173413
2010-09-15,34663.263886576126,18090.42731441709,52121.25366328666
2010-09-16,39738.411956432385,23178.871925555883,55625.719810485105
2010-09-17,32283.8190962292,15653.468583561007,48428.28381708202
2010-09-19,24678.966669173093,8223.646329635398,41731.48396232804
2010-09-20,40568.615229486735,24341.01133861059,56760.18034257284
2010-09-21,38798.201334508085,21580.856948486897,53770.513739927395
2010-09-22,36061.41265314489,20826.139832264045,51892.341803837524
2010-09-23,41136.560727092095,25807.416686293524,57207.183403476796
2010-09-24,33681.967866915256,18810.927986354873,50105.896900457104
2010-09-26,26077.115439849425,10418.861260931219,42850.791105845696
2010-09-27,41966.76400015185,26074.680962778133,58495.42242507003
2010-09-28,40196.35010518346,24221.912658994865,56805.98224794363
2010-09-29,37459.562234665624,21943.00802646235,54098.48611958791
2010-09-30,42534.711119459826,26299.080278635607,57923.452886113024
2010-10-01,35080.11907013335,17829.093773905282,50077.154295116314
2010-10-03,27475.268264775274,10206.0955782703,42971.93789086769
2010-10-04,43364.91763594198,27989.986880720364,58968.33441268613
2010-10-05,41594.504551839695,24897.172577227666,58950.67218725073
2010-10-06,38857.71668132698,22800.950970290804,55823.23004607089
2010-10-07,43932.86556613048,27948.326654296903,59723.043072222965
2010-10-08,36478.273516823836,20950.482139891043,52286.917607430456
2010-10-10,28873.42271145365,13286.46387873596,44917.454099856295
2010-10-11,44763.07208260568,29331.919341002846,60813.63249409277
2010-10-12,42992.65899849593,25618.693821466357,59386.12766737588
2010-10-13,40255.87112800494,24343.0557836122,56741.81115128042
2010-10-14,45331.02001279725,29842.059877210773,60026.524365558245
2010-10-15,37876.4279634719,21588.28934816095,53936.91140455118
2010-10-17,30271.577158137057,14737.306743301539,45341.5270691437
2010-10-18,46161.22652927015,29243.74290302481,62095.61497611771
2010-10-19,44390.81344516949,28525.298142169657,61282.553351626666
2010-10-20,41654.02557465743,25956.672742330997,56860.23574786179
2010-10-21,46729.174459461814,31246.6833117108,63760.3964115658
2010-10-22,39274.582410122595,23346.51410854894,55796.872951600904
2010-10-24,31669.731604810433,16710.40881676423,48065.29699517222
2010-10-25,47559.380975933855,31277.445372301358,62153.237513208165
2010-10-26,45788.96789183462,29314.443661520676,61843.775832486775
2010-10-27,43052.18002132708,27707.83175414183,59398.29624840487
2010-10-28,48127.328906122515,31563.398583057253,63022.72453240821
2010-10-29,40672.736856770665,24979.191316582055,56951.89059839145
2010-10-31,33067.88605145259,16404.681882709458,49425.17443028285
2010-11-01,48957.53542259834,31927.92054917143,64884.50930409562
2010-11-02,47187.122338490844,30822.48575441391,62806.473100531555
2010-11-03,44450.33446799674,29545.985723857986,59807.11764662343
2010-11-04,49525.48335277714,34565.576918682964,66690.36921866155
2010-11-05,42070.891303463795,25610.93462801153,57669.73756812191
2010-11-07,34466.04049808471,18486.622109461994,50715.64703464494
2010-11-08,50355.689869262795,35934.16797102891,65556.36951557307
2010-11-09,48585.276785155955,32713.883251653104,65218.93477193202
2010-11-10,45848.48891465754,30107.24093922426,61867.03845864285
2010-11-11,50923.63779944778,35064.9670112727,66893.47496781661
2010-11-12,43469.04575011186,27460.414085464316,58670.30981243445
2010-11-14,35864.194944768096,19799.070280580712,50696.513669271175
2010-11-15,51753.84431592649,35987.611433282385,68090.31703815676
2010-11-16,49983.43123182063,34455.41103063558,66904.50820824836
2010-11-17,47246.643361318886,32093.899383041226,63133.28228313488
2010-11-18,52321.79224611236,34929.05296046239,68654.57406393666
2010-11-19,44867.20019675992,28676.947361597555,60955.85125395764
2010-11-21,37262.34939140524,20763.090682963306,52412.94123028596
2010-11-22,53151.99876259097,37116.17207022887,69267.49775125866
2010-11-23,51381.58567848576,34802.74923914236,67539.3396538059
2010-11-24,48644.797807988,31865.173254934038,64901.34203810521
2010-11-25,53719.94669278301,38422.98256532682,70513.28869412841
2010-11-26,46265.354643453036,30037.220654670706,60875.79742156752
2010-11-28,38660.50383808363,22899.81745575072,54478.674042306106
2010-11-29,54550.15320926317,38868.21321625385,71073.80868366644
2010-11-30,52779.740125150885,36405.76694816535,70046.84628215338
2010-12-01,50042.952254640484,33465.15699158894,65871.92899088688
2010-12-02,55118.101139443694,40056.500831050624,71477.15900464168
2010-12-03,47663.509090101106,32255.41350833192,63258.9072885367
2010-12-05,40058.658284762016,23596.71565137434,55366.46936892968
2010-12-06,55948.30765592764,39236.78820370022,70934.6320293842
2010-12-07,54177.894571815545,37686.046275722074,69526.73618770525
2010-12-08,51441.10670131845,34425.31293232305,67921.3827279789
2010-12-09,56516.25558610828,39869.11787070302,72242.04450386022
2010-12-10,49061.66353675181,33795.561226376645,66182.40301107577
2010-12-11,30133.38893765416,13783.505960881943,46496.067070318866
2010-12-12,41456.81273140416,25103.822224061445,57699.65403094905
2010-12-13,57346.46210258362,41855.75269746365,73735.7877968781
2010-12-14,55576.04901848067,38318.65560611647,70956.32307405626
2010-12-15,52839.2611479798,37482.6745155824,69732.0001700211
2010-12-16,57914.41003277286,43353.73577331146,74612.2058720062
2010-12-17,50459.81798339988,35551.67172186444,67440.02705123914
2010-12-18,31531.543384326018,16077.80448054601,48249.95754986433
2010-12-19,42854.96717807754,28498.678665585867,59921.669995329634
2010-12-20,58744.61654925581,42127.99496439661,75714.5961325447
2010-12-21,56974.20346514534,38935.53481059694,73524.73674836243
2010-12-22,54237.41559464946,38783.36090156988,69991.8370819406
2010-12-23,59312.56447943962,43231.29508407846,74491.6965037236
2010-12-24,51857.97243009035,35668.393961467176,68274.10724004173
2010-12-25,32929.6978309848,16445.68599883919,49899.64164746322
2010-12-26,44253.12162476095,28326.35462431863,60974.85223091154
2010-12-27,60142.770995928004,43533.578063252266,75653.16070673673
2010-12-28,58372.3579118278,41728.73125243409,73186.59592201357
2010-12-29,55635.57004130195,38704.50640988089,71478.30505997798
2010-12-30,60710.718926098125,44941.11982312386,76469.3875010065
2010-12-31,53256.126876741066,37223.592492595024,68355.61431562452
2011-01-01,34327.85227764621,17687.233815808766,50184.63419928509
2011-01-02,45651.27607143934,29778.29289209172,61433.96920785281
2011-01-03,61540.92544257628,44859.154740257516,77541.90831696587
2011-01-04,59770.512358484026,44340.174842469234,75838.47386905829
2011-01-05,57033.72448796331,40996.06121366784,72720.59842639042
2011-01-06,62108.87337276877,46037.249910976134,77728.7673537622
2011-01-07,54654.28132343419,39822.13462396941,69808.88023590551
2011-01-08,35726.00672431808,19590.72646404112,52175.90088827241
