StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders
17096,ASSORTED LAQUERED INCENSE HOLDERS,3698,661.96,53
17174,ASSTD RASTA KEY-CHAINS,27,11.34,4
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,24
17181,CIRCLE OF FRIENDS CANDLE HOLDER,354,645.2099999999999,65
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3140,533.15,47
18010,ASSORTED FRAGRANCE BATH CONFETTI,64,30.16,9
20615,BLUE POLKADOT PASSPORT COVER,23,73.63,21
20615,BLUE SPOTTY PASSPORT COVER,316,570.85,88
20616,CHERRY BLOSSOM PASSPORT COVER,93,218.35000000000002,53
20617,FIRST CLASS PASSPORT COVER ,406,802.26,63
20618,QUEEN OF THE SKIES PASSPORT COVER ,151,366.35,62
20619,TROPICAL PASSPORT COVER ,322,581.08,98
20620,RED SPOTTY PASSPORT COVER,15,61.76,14
20621,ECONOMY PASSPORT COVER ,208,453.77000000000004,33
20622,VIPPASSPORT COVER ,404,847.03,81
20652,BLUE POLKADOT LUGGAGE TAG ,20,30.049999999999997,17
20652,BLUE SPOTTY LUGGAGE TAG ,1238,660.4,80
20653,CHERRY BLOSSOM LUGGAGE TAG,1933,438.61,50
20654,FIRST CLASS LUGGAGE TAG ,248,314.32,71
20655,QUEEN OF SKIES LUGGAGE TAG,224,327.46,95
20657,TROPICAL LUGGAGE TAG,1810,623.06,88
20658,RED RETROSPOT LUGGAGE TAG,183,262.77,62
20658,RED SPOTTY LUGGAGE TAG,982,1362.8,197
20659,ECONOMY LUGGAGE TAG,215,291.67,77
20660,VIP LUGGAGE TAG ,73,91.25,26
20661,BLUE POLKADOT PURSE ,42,112.46,23
20661,BLUE SPOTTY PURSE ,460,522.0500000000001,72
20662,FIRST CLASS HOLIDAY PURSE ,399,334.93000000000006,32
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,548,214.32,28
20664,TROPICAL HOLIDAY PURSE ,25,73.75,13
20665,RED RETROSPOT PURSE ,169,547.0300000000001,50
20665,RED SPOTTY PURSE ,706,2189.67,160
20666,ECONOMY HOLIDAY PURSE,481,302.92,30
20667,CHERRY BLOSSOM PURSE,20,59.00000000000001,8
20668,DISCO BALL CHRISTMAS DECORATION,8934,1057.53,172
20669,RED HEART LUGGAGE TAG,520,705.86,125
20670,VIP HOLIDAY PURSE,368,248.41000000000003,40
20671,BLUE TEATIME PRINT BOWL ,787,1039.97,143
20672,PINK TEATIME PRINT BOWL,138,201.0,36
20673,STRAWBERRIES PRINT BOWL,5,6.25,2
20674,GREEN POLKADOT BOWL,309,402.82,51
20674,GREEN SPOTTY BOWL,1568,1968.44,215
20675,BLUE POLKADOT BOWL,586,729.04,73
20675,BLUE SPOTTY BOWL,2830,3432.19,313
20676,RED RETROSPOT BOWL,886,1155.53,114
20676,RED SPOTTY BOWL,4590,5610.76,430
20677,PINK POLKADOT BOWL,639,828.8100000000001,91
20677,PINK SPOTTY BOWL,3584,4370.18,349
20679,?,-330,0.0,1
20679,EDWARDIAN PARASOL RED,4540,20592.350000000002,415
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,4
20681,PINK POLKADOT CHILDRENS UMBRELLA,287,1053.47,101
20681,PINK SPOTTY CHILDS UMBRELLA,980,3228.86,217
20682,RED RETROSPOT CHILDRENS UMBRELLA,403,1413.91,124
20682,RED SPOTTY CHILDS UMBRELLA,1452,4696.29,256
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,492,1626.56,150
20685,DOOR MAT RED SPOT,2483,15860.93,416
20685,DOORMAT RED RETROSPOT,1122,8455.32,243
20685,DOORMAT RED SPOT,1087,7765.42,206
20685,RED SPOTTY COIR DOORMAT,1167,7516.09,209
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,327,1111.77,121
20688,BEAUTY SPEED EXPRESSO CUPS,464,332.9,11
20689,RETRO SISTERS EXPRESSO CUPS,418,596.65,42
20692,?,-64,0.0,1
20692,FLORAL ELEPHANT SOFT TOY,910,3691.26,141
20693,FLORAL DINOSAUR GREEN,32,157.64000000000001,19
20694,FLORAL PINK MONSTER,120,423.54,39
20695,FLORAL BLUE MONSTER,134,570.58,60
20696,FLORAL SOFT CAR TOY,99,402.37,32
20697,LITTLE GREEN MONSTER SOFT TOY,23,53.25,12
20698,LITTLE PINK MONSTER SOFT TOY,30,71.1,13
20699,MOUSEY LONG LEGS SOFT TOY,204,562.3299999999999,52
20700,GREEN CAT FLORAL CUSHION COVER ,346,782.55,52
20701,PINK CAT FLORAL CUSHION COVER ,328,620.52,32
20702,PINK PADDED MOBILE,657,2761.41,211
20703,BLUE PADDED SOFT MOBILE,449,1899.97,181
20704,MR ROBOT SOFT TOY,145,673.72,36
20705,MRS ROBOT SOFT TOY,130,567.34,25
20707,CRAZY DAISY HEART DECORATION,1146,772.8000000000001,54
20711,JUMBO BAG TOYS ,7821,15142.28,546
20712,JUMBO BAG WOODLAND ANIMALS,8173,15916.32,579
20712,missing,-239,0.0,1
20713,JUMBO BAG OWLS,9746,18341.579999999998,689
20713,missing,-170,0.0,1
20714,POSY SHOPPER BAG,1580,649.8199999999999,28
20714,missing,-450,0.0,1
20715,LITTLE FLOWER SHOPPER BAG,0,0.0,2
20716,PARTY FOOD SHOPPER BAG,1128,1451.68,179
20717,STRAWBERRY SHOPPER BAG,3382,4166.75,360
20718,RED RETROSPOT SHOPPER BAG,1644,2350.12,133
20718,RED SPOTTY SHOPPER BAG,7046,8748.09,520
20719,WOODLAND CHARLOTTE BAG,11615,11508.15,773
20721,OWLS CHARLOTTE BAG,1,0.85,1
20723,STRAWBERRY CHARLOTTE BAG,8575,8030.15,689
20724,RED RETROSPOT CHARLOTTE BAG,3150,3553.5299999999997,256
20724,RED SPOTTY CHARLOTTE BAG,11478,10182.789999999999,798
20725,LUNCH BAG RED RETROSPOT,3424,6348.17,329
20725,LUNCH BAG RED SPOTTY,17608,29373.62,1246
20726,LUNCH BAG WOODLAND,11477,19263.3,962
20727,LUNCH BAG  BLACK SKULL.,13803,22424.53,1138
20728,LUNCH BAG CARS BLUE,12149,19683.61,964
20729,RED SPOTTY CANDY BAG,5240,1750.62,124
20730,STRAWBERRY CANDY BAG,2207,997.95,104
20731,POSY CANDY BAG,3996,1085.91,59
20733,GOLD MINI TAPE MEASURE ,725,523.04,100
20734,SILVER MINI TAPE MEASURE ,1440,1213.61,94
20735,BLACK MINI TAPE MEASURE ,922,963.2299999999999,102
20736,PINK MINI TAPE MEASURE ,291,234.35,19
20737,RED MINI TAPE MEASURE ,1,1.7,1
20738,GREEN MINI TAPE MEASURE ,1610,1301.72,74
20738,counted,-120,0.0,1
20739,*USB Office Glitter Lamp,1,8.65,1
20747,PICCADILLY TEA SET,680,9184.47,111
20748,KENSINGTON COFFEE SET,1547,13566.810000000001,153
20749,ASSORTED COLOUR MINI CASES,1381,10154.19,410
20750, RED/WHITE DOT MINI CASES,492,3704.54,145
20750,RED RETROSPOT MINI CASES,392,3065.33,149
20750,RED/WHITE DOT MINI CASES,1131,8053.17,258
20751,FUNKY WASHING UP GLOVES ASSORTED,1936,4128.76,289
20752,BLUE POLKADOT WASHING UP GLOVES,157,369.79,66
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,964,1653.64,157
20753,RETRO PINK SPOT WASHING UP GLOVES,216,504.8,57
20754,RETRO RED SPOTTY WASHING UP GLOVES,3108,6195.29,425
20754,RETROSPOT RED WASHING UP GLOVES,561,1258.3000000000002,151
20755,BLUE PAISLEY POCKET BOOK,4855,833.78,65
20756,GREEN FERN POCKET BOOK,5671,803.11,42
20757,RED DAISY POCKET BOOK ,5208,770.21,48
20758,ABSTRACT CIRCLES POCKET BOOK,5278,828.4699999999999,56
20759,CHRYSANTHEMUM POCKET BOOK ,5718,840.98,45
20760,GARDEN PATH POCKET BOOK,5486,1259.26,62
20761,BLUE PAISLEY SKETCHBOOK,343,942.98,89
20762,GREEN FERN SKETCHBOOK ,356,946.45,87
20763,DAISY SKETCHBOOK ,192,494.19,50
20764,ABSTRACT CIRCLES SKETCHBOOK ,544,1535.2,123
20765,CHRYSANTHEMUM SKETCHBOOK ,343,860.26,94
20766,GARDEN PATH SKETCHBOOK,397,1062.52,104
20767,BLUE PAISLEY JOURNAL ,559,1077.9,104
20768,GREEN FERN JOURNAL ,594,1103.27,96
20769,DAISY JOURNAL ,362,601.45,47
20770,ABSTRACT CIRCLE JOURNAL ,861,1748.46,138
20771,CHRYSANTHEMUM  JOURNAL,520,944.75,103
20772,GARDEN PATH JOURNAL,578,927.6099999999999,102
20773,BLUE PAISLEY NOTEBOOK,3300,899.6299999999999,100
20774,GREEN FERN NOTEBOOK,3406,834.44,80
20775,DAISY NOTEBOOK ,3476,704.61,51
20776,ABSTRACT CIRCLES NOTEBOOK,3259,834.31,84
20777,CHRYSANTHEMUM NOTEBOOK,3497,993.53,96
20778,GARDEN PATH NOTEBOOK ,3598,922.91,86
20779,PINK EAR MUFF HEADPHONES,-3,-14.790000000000001,2
20780,BLACK EAR MUFF HEADPHONES,200,1104.55,75
20781,GOLD EAR MUFF HEADPHONES,67,362.18,40
20782,CAMOUFLAGE EAR MUFF HEADPHONES,110,693.4399999999999,65
20783,HEART EAR MUFF HEADPHONES,163,1035.77,60
20784,RED RETRO BAR STOOL,106,3530.92,40
20785,FUSCHIA RETRO BAR STOOL,88,3109.1,33
20786,BLACK RETRO BAR STOOL,98,3454.0,34
20786,Damages,-18,0.0,1
20787,BLUE RETRO BAR STOOL,74,2535.1,31
20787,damaged,-5,0.0,2
20791,BLUE TILED SET OF 3 DRAWERS,0,0.0,2
20793,BLUE TILED TRAY,273,464.5,18
20794,BLUE  TILE HOOK,105,290.34,24
20795,LARGE BLUE PROVENCAL CERAMIC BALL,85,193.55,19
20796,SMALL BLUE PROVENCAL CERAMIC BALL,37,78.22,13
20798,CLEAR MILKSHAKE GLASS,457,1130.1,95
20798,show,-130,0.0,1
20799,PINK MILKSHAKE GLASS,192,325.87,28
20799,damaged,1,0.0,1
20800,LARGE GLASS SUNDAE DISH CLEAR,1005,303.96,5
20801,LARGE PINK GLASS SUNDAE DISH,83,279.41999999999996,31
20802,SMALL GLASS SUNDAE DISH CLEAR,319,630.7299999999999,58
20803,SMALL PINK GLASS SUNDAE DISH,215,414.87999999999994,47
20804,GLASS CHICKEN BUTTER DISH,285,522.91,62
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75,3
20814,SILVER FINCH DECORATION,176,192.64000000000001,14
20816,GOLD FLOWER CUSHION COVER ,11,74.25,6
20818,GOLD TEDDY BEAR,72,225.8,25
20819,SILVER TEDDY BEAR,165,390.52,39
20820,SILVER LOOKING MIRROR,9,44.550000000000004,7
20820,damages,-143,0.0,1
20821,GOLDIE LOOKING MIRROR,23,192.37,20
20821,damages,-194,0.0,1
20822,SILVER WINE GOBLET,0,0.0,2
20823,GOLD WINE GOBLET,89,404.15000000000003,12
20825,GOLD WINE GLASS,355,1232.58,8
20825,damages,-90,0.0,1
20826,SILVER APERITIF GLASS,79,162.32000000000002,6
20827,GOLD APERITIF GLASS,85,175.04000000000002,6
20828,GLITTER BUTTERFLY CLIPS,3321,7939.53,383
20829,GLITTER HANGING BUTTERFLY STRING,2560,5568.39,305
20830,SILVER PHOTO FRAME,267,542.16,48
20830,damages,-161,0.0,1
20831,GOLD PHOTO FRAME,258,461.43,41
20832,RED FLOCK LOVE HEART PHOTO FRAME,616,555.73,82
20833,SHAKER THROW  QUILTED,51,761.85,6
20835,FRENCH LATTICE CUSHION COVER ,14,32.239999999999995,3
20836,FRENCH PAISLEY CUSHION COVER,42,73.5,6
20837,FRENCH FLORAL CUSHION COVER ,24,45.60000000000001,3
20838,FRENCH LATTICE CUSHION COVER ,61,104.35000000000001,6
20839,FRENCH PAISLEY CUSHION COVER ,67,223.33000000000004,16
20840,FRENCH FLORAL CUSHION COVER ,146,440.4399999999999,22
20845,ZINC HEART LATTICE 2 WALL PLANTER,57,381.61999999999995,13
20846,ZINC HEART LATTICE T-LIGHT HOLDER,754,1042.16,85
20847,ZINC HEART LATTICE CHARGER LARGE,28,116.77,11
20848,ZINC HEART LATTICE CHARGER SMALL,18,53.10000000000001,4
20849,ZINC HEART LATTICE DOUBLE PLANTER,674,593.03,24
20850,ZINC HEART LATTICE PLANTER BOWL,820,713.8000000000001,23
20851,ZINC HEART LATTICE TRAY OVAL ,324,364.12,22
20852,Given away,-8800,0.0,1
20852,given away,-10000,0.0,4
20854,BLUE PATCH PURSE PINK HEART,217,359.76,73
20855,PINK PATCH PURSE BLUE HEART,144,237.59999999999997,48
20856,DENIM PATCH PURSE PINK BUTTERFLY,200,330.0,64
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,225,371.25,67
20858,SILVER PURSE GOLD PINK BUTTERFLY,4,6.6,1
20860,GOLD COSMETICS BAG WITH BUTTERFLY,19,39.900000000000006,10
20861,GOLD COSMETIC BAG PINK STAR,46,96.60000000000001,15
20862,PINK PATCH PENCIL CASE BLUE HEART,324,689.0400000000001,38
20863,BLUE PATCH PENCIL CASE PINK HEART,294,603.63,51
20864,DENIM PATCH PENCIL CASE BUTTERFLY,251,496.04,30
20865,PATCHWORK PENCIL CASE BUTTERFLY ,169,355.02,35
20866,BLUE ROSE FABRIC MIRROR,689,670.49,105
20867,PINK ROSE FABRIC MIRROR,810,760.98,96
20868,SILVER FABRIC MIRROR,424,298.72,25
20869,GOLD FABRIC MIRROR,350,209.61,24
20870,OPULENT VELVET CANDLE IN BOX,29,52.2,8
20871,OPULENT VELVET SET/3 CANDLES,1272,1971.73,128
20877,MODERN CHRISTMAS BAUBLE CANDLE ,12,5.04,5
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,739,955.01,85
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,-27,-126.00000000000001,12
20881,MODERN CHRISTMAS TREE CANDLE,3,2.55,2
20882,MODERN CHRISTMAS TREE CANDLE,3,8.850000000000001,2
20884,MODERN CHRISTMAS TREE CANDLE ,3,6.300000000000001,3
20885,BOX OF 3 PEBBLE CANDLES,0,0.0,2
20886,BOX OF 9 PEBBLE CANDLES,1307,2601.3199999999997,212
20887,BOX OF 6 PEBBLE CANDLES,18,118.39,8
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,367,547.74,19
20889,JARDIN DE FEMME SCENTED CANDLE,657,398.03999999999996,13
20890,SMALL GLASS ROSE SCENTED CANDLE,605,202.62,4
20891,LARGE GLASS ROSE SCENTED CANDLE ,684,236.32999999999998,3
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,81,876.46,44
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,295,709.77,55
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,243,745.94,69
20895,VINTAGE NOTEBOOK FRENCH LETTER ,16,47.20000000000001,4
20896,VINTAGE NOTEBOOK PINK FLOWER,40,118.00000000000001,14
20897,VINTAGE NOTEBOOK PARIS DAYS,245,556.34,54
20898,VINTAGE NOTEBOOK TRAVELOGUE,289,588.19,40
20899,VINTAGE NOTEBOOK RED ROSE,44,129.8,12
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,72,721.45,52
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,100,901.94,65
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,106,484.26,32
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,10,63.5,4
20906,VINTAGE NOTEBOOK BEAUTY GIRL,100,365.29,46
20910,VINTAGE PHOTO ALBUM PARIS DAYS,102,743.72,45
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,314,898.7199999999999,43
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2159,6202.89,310
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10148,28027.72,926
20914,damages,-40,0.0,1
20931,BLUE POT PLANT CANDLE ,365,1157.53,97
20932,PINK POT PLANT CANDLE,123,492.68,50
20933,YELLOW POT PLANT CANDLE,482,1258.44,43
20934,SET/3 POT PLANT CANDLES,125,739.3100000000001,46
20935,ROUND CACTUS CANDLE,290,544.98,43
20936,FORKED CACTUS CANDLE,233,527.49,47
20939,ORANGE CANDLE,12,10.2,1
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,82,236.55,24
20941,FROG CANDLE,890,776.16,110
20942,SET/6 GINGERBREAD TREE T-LIGHTS,5,6.25,5
20943,SET/6 GINGERBREAD STAR T-LIGHTS,383,542.71,72
20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,687,353.39,83
20952,PORCELAIN CHERUB BELL SMALL,70,31.97999999999999,26
20953,PORCELAIN CHERUB BELL LARGE,33,54.449999999999996,9
20954,*USB Office Mirror Ball,1,8.65,1
20956,?,-723,0.0,1
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1547,1998.73,150
20957,PORCELAIN HANGING BELL SMALL,125,183.16,16
20958,PORCELAIN HANGING BELL LARGE,38,70.5,10
20960,WATERMELON BATH SPONGE,1879,2498.43,207
20961,STRAWBERRY BATH SPONGE ,2428,3126.14,307
20963,APPLE BATH SPONGE,2298,3011.45,304
20964,POLYESTER FILLER PAD 60x40cm,18,45.89999999999999,5
20966,SANDWICH BATH SPONGE,2445,3494.13,351
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,858,3232.14,239
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,43,185.11,19
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1332,5078.17,330
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1430,5396.12,334
20971,PINK BLUE FELT CRAFT TRINKET BOX,10378,13855.050000000001,664
20972,PINK CREAM FELT CRAFT TRINKET BOX ,11926,14469.14,823
20973,12 PENCIL SMALL TUBE WOODLAND,5555,3711.1000000000004,328
20974,12 PENCILS SMALL TUBE SKULL,6530,4333.360000000001,498
20975,12 PENCILS SMALL TUBE RED RETROSPOT,3764,2566.23,210
20975,12 PENCILS SMALL TUBE RED SPOTTY,6966,4532.38,375
20976,12 PENCILS SMALL TUBE POSY,550,376.99,76
20977,36 PENCILS TUBE WOODLAND,2114,2817.6,307
20978,36 PENCILS TUBE SKULLS,2362,3094.7799999999997,304
20979,36 PENCILS TUBE RED RETROSPOT,1035,1305.97,120
20979,36 PENCILS TUBE RED SPOTTY,3215,4051.43,282
20980,36 PENCILS TUBE POSY,155,206.65,39
20981,12 PENCILS TALL TUBE WOODLAND,2746,2332.72,279
20982,12 PENCILS TALL TUBE SKULLS,2747,2403.08,334
20983,12 PENCILS TALL TUBE RED RETROSPOT,1224,1053.36,124
20983,12 PENCILS TALL TUBE RED SPOTTY,2348,2065.56,259
20984,12 PENCILS TALL TUBE POSY,1903,748.14,80
20985,HEART CALCULATOR,1184,1501.17,168
20986,BLUE CALCULATOR RULER,594,757.6,96
20987,GEISHA GIRL CHOPSTICKS SET/5,131,288.35,22
20988,TRELLIS FLOWER CHOPSTICKS SET/5,24,46.8,9
20989,URBAN CHIC CHOPSTICKS SET/5,405,778.28,58
20990,SPRING FLOWER CHOPSTICKS SET/5,894,1704.19,104
20991,JAZZ HEARTS MAGNETIC MEMO PAD,7084,884.5600000000002,32
20992,JAZZ HEARTS PURSE NOTEBOOK,1773,1319.77,164
20993,JAZZ HEARTS MEMO PAD,10967,1334.1100000000001,32
20994,JAZZ HEARTS SPIRAL NOTEPAD,47,39.949999999999996,12
20996,JAZZ HEARTS ADDRESS BOOK,3135,973.77,117
20997,ROSE DU SUD CUSHION COVER ,111,539.13,49
20998,ROSE DU SUD OVEN GLOVE,147,464.03000000000003,63
21000,ROSE DU SUD COSMETICS BAG,599,1401.83,47
21001,ROSE DU SUD WASHBAG ,75,400.82,45
21002,ROSE DU SUD DRAWSTRING BAG,304,1118.8799999999999,124
21003,ROSE DU SUD CUSHION COVER,31,187.17,18
21004,ROSE DU SUD CHILDRENS APRON,31,135.93,18
21004,ROSE DU SUD CHILDS APRON,106,489.14,52
21007,ETCHED GLASS DROPLET DECORATION,1927,914.6700000000001,48
21007,damages?,-121,0.0,1
21008,ETCHED GLASS HEART TREE DECORATION,1,2.51,1
21009,ETCHED GLASS STAR TREE DECORATION,1043,1489.99,104
21010,ETCHED GLASS BIRD TREE DECORATION,844,1107.26,84
21011,GLITTER SNOW PEAR TREE DECORATION,1846,1382.5,118
21012,ANTIQUE ALL GLASS CANDLESTICK,1192,1834.55,112
21014,SWISS CHALET TREE DECORATION ,589,440.82,81
21015,DARK BIRD HOUSE TREE DECORATION,237,207.78,50
21016,LIGHT BIRD HOUSE TREE DECORATION,832,582.87,83
21017,RED BIRD HOUSE TREE DECORATION,662,538.4399999999999,87
21018,BIRD BOX CHRISTMAS TREE DECORATION,212,181.85999999999999,40
21018,checked,176,0.0,1
21025,SPACE FROG,140,182.62,28
21026,SPACE OWL,300,411.0,60
21027,NINJA RABBIT PINK,194,254.58,37
21028,NINJA RABBIT BLACK,137,187.17,35
21030,SPACE CADET RED,109,132.45,19
21031,SPACE CADET BLACK,93,114.97,23
21032,SPACE CADET WHITE,115,145.63,22
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2689,5382.41,284
21034,REX CASH+CARRY JUMBO SHOPPER,2296,2179.2999999999997,1081
21035,SET/2 RED RETROSPOT TEA TOWELS ,819,2448.45,133
21035,SET/2 RED SPOTTY TEA TOWELS ,2662,7969.42,428
21036,SET/2 TEA TOWELS MODERN VINTAGE,1,2.55,1
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,93,280.53000000000003,31
21039,RED RETROSPOT SHOPPING BAG,110,293.94,27
21039,RED SPOTTY SHOPPING BAG,682,1787.84,118
21040,MODERN VINTAGE COTTON SHOPPING BAG,873,1098.7,61
21041,RED RETROSPOT OVEN GLOVE DOUBLE,521,1660.63,121
21041,RED SPOTTY OVEN GLOVE DOUBLE,1280,3703.4300000000003,175
21041,missing,-160,0.0,1
21042,RED RETROSPOT APRON ,375,2064.9500000000003,76
21042,RED SPOTTY APRON ,783,4572.66,209
21043,APRON MODERN VINTAGE COTTON,182,763.32,52
21051,?,-240,0.0,1
21051,RIBBONS PURSE ,562,1113.18,79
21053,ZINC HEART HANGER WITH HOOKS,-1,-4.25,1
21054,NURSE'S BAG SOFT TOY,322,2992.97,157
21055,TOOL BOX SOFT TOY ,226,2267.67,126
21056,DOCTOR'S BAG SOFT TOY,295,2645.23,128
21058,PARTY INVITES WOODLAND,1265,1110.29,156
21059,PARTY INVITES DINOSAURS,998,831.38,131
21060,PARTY INVITES BALLOON GIRL,883,603.4599999999999,81
21061,PARTY INVITES FOOTBALL,933,616.11,84
21062,PARTY INVITES SPACEMAN,539,438.89,64
21063,PARTY INVITES JAZZ HEARTS,960,825.16,140
21064,BOOM BOX SPEAKER BOYS,599,3223.09,80
21065,BOOM BOX SPEAKER GIRLS,42,278.64,32
21066,VINTAGE RED MUG,1578,798.72,80
21067,VINTAGE RED TEATIME MUG,4472,3366.19,196
21068,VINTAGE BILLBOARD LOVE/HATE MUG,2713,2644.91,202
21069,VINTAGE BILLBOARD TEA MUG,3182,3206.08,206
21070,VINTAGE BILLBOARD MUG ,926,905.2,128
21071,VINTAGE BILLBOARD DRINK ME MUG,3474,3860.11,328
21076,SET/20 COLLAGE PAPER NAPKIN ,843,714.55,93
21077,SET/20 WOODLAND PAPER NAPKINS ,2793,2060.65,192
21078,SET/20 STRAWBERRY PAPER NAPKINS ,4460,3671.2999999999997,435
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2910,2514.47,237
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15067,11778.92,950
21081,SET/20 POSIES PAPER NAPKINS,4,3.4,4
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,4025,1296.47,140
21084,SET/6 COLLAGE PAPER CUPS,319,235.67000000000002,42
21085,SET/6 WOODLAND PAPER CUPS,13732,1873.3300000000002,66
